--- Page 1 (index 0) Size: 612.0x792.0 ---

--- All Horizontal Lines ---
Y=410.6 X=131.2-139.2 ''
Y=413.0 X=53.8-122.2 'White/Caucasian'
Y=413.0 X=141.7-195.4 'Black/African'
Y=413.0 X=197.9-235.9 'American'
Y=420.5 X=43.3-51.3 ''
Y=420.5 X=126.2-134.2 ''
Y=423.0 X=53.8-117.2 'Hispanic-Latino'
Y=423.0 X=136.7-158.9 'Asian'
Y=430.5 X=43.3-51.3 ''
Y=430.5 X=190.5-198.5 ''
Y=433.0 X=53.8-91.9 'American'
Y=433.0 X=94.4-153.5 'Indian/Alaskan'
Y=433.0 X=156.0-181.5 'Native'
Y=433.0 X=201.1-228.0 'Pacific'
Y=433.0 X=230.5-262.4 'Islander'
Y=440.5 X=43.3-51.3 ''
Y=440.5 X=141.2-149.2 ''
Y=440.5 X=249.8-257.8 ''
Y=443.0 X=53.8-74.5 'More'
Y=443.0 X=77.0-94.7 'than'
Y=443.0 X=97.2-112.2 'one'
Y=443.0 X=114.7-132.2 'race'
Y=443.0 X=151.7-174.2 'Other'
Y=443.0 X=260.4-290.2 'Decline'
Y=459.9 X=212.7-262.4 'Customer'
Y=459.9 X=265.5-294.4 'Utility'
Y=459.9 X=297.5-339.9 'Account'
Y=459.9 X=342.9-401.0 'Information'
Y=471.8 X=195.4-213.8 'Must'
Y=471.8 X=216.0-243.9 'provide'
Y=471.8 X=246.1-259.3 'gas'
Y=471.8 X=261.5-275.4 'and'
Y=471.8 X=277.6-304.9 'electric'
Y=471.8 X=307.1-326.9 'utility'
Y=471.8 X=329.1-359.0 'account'
Y=471.8 X=361.2-393.8 'numbers'
Y=471.8 X=396.1-418.3 'below'
Y=487.4 X=161.8-181.9 'Gas'
Y=487.4 X=422.8-460.9 'Electric'
Y=506.1 X=43.3-51.3 ''
Y=506.1 X=313.3-321.3 ''
Y=508.5 X=53.8-86.0 'PSE&G:'
Y=508.5 X=323.8-361.9 'Rockland'
Y=508.5 X=364.4-394.2 'Electric'
Y=508.5 X=396.7-413.4 'Co.:'
Y=519.9 X=43.3-51.3 ''
Y=519.9 X=313.3-321.3 ''
Y=522.3 X=53.8-112.8 'Elizabethtown:'
Y=522.3 X=323.8-356.0 'PSE&G:'
Y=533.7 X=43.3-51.3 ''
Y=533.7 X=313.3-321.3 ''
Y=536.1 X=53.8-80.8 'NJNG:'
Y=536.1 X=323.8-354.0 'Atlantic'
Y=536.1 X=356.5-372.3 'City'
Y=536.1 X=374.8-407.2 'Electric:'
Y=547.5 X=43.3-51.3 ''
Y=547.5 X=313.3-321.3 ''
Y=549.9 X=53.8-73.7 'SJG:'
Y=549.9 X=323.8-362.7 'Municipal'
Y=549.9 X=365.2-395.0 'Electric'
Y=549.9 X=397.5-414.2 'Co.:'
Y=565.0 X=188.9-218.2 'HVAC'
Y=565.0 X=221.3-240.4 'and'
Y=565.0 X=243.5-273.2 'Water'
Y=565.0 X=276.3-315.6 'Heating'
Y=565.0 X=318.7-373.7 'Equipment'
Y=565.0 X=376.7-382.2 '–'
Y=565.0 X=385.3-423.4 'Electric'
Y=587.3 X=43.3-96.1 'Existing/New'
Y=587.3 X=98.6-144.7 'Equipment:'
Y=598.6 X=245.0-253.0 ''
Y=598.6 X=278.7-286.7 ''
Y=601.1 X=43.3-46.5 '•'
Y=601.1 X=52.3-59.2 'Is'
Y=601.1 X=61.7-92.7 'existing'
Y=601.1 X=95.2-138.0 'equipment'
Y=601.1 X=140.5-153.8 'still'
Y=601.1 X=156.3-163.3 'in'
Y=601.1 X=165.9-197.7 'working'
Y=601.1 X=200.2-242.5 'condition?'
Y=601.1 X=255.5-269.7 'Yes'
Y=601.1 X=289.2-300.9 'No'
Y=612.4 X=279.6-287.6 ''
Y=612.4 X=313.3-321.3 ''
Y=614.8 X=43.3-46.5 '•'
Y=614.8 X=52.3-73.2 'Does'
Y=614.8 X=75.7-88.3 'the'
Y=614.8 X=90.8-107.5 'new'
Y=614.8 X=110.0-124.8 'unit'
Y=614.8 X=127.3-156.8 'replace'
Y=614.8 X=159.3-172.0 'the'
Y=614.8 X=174.5-196.4 'same'
Y=614.8 X=198.9-216.4 'type'
Y=614.8 X=218.9-226.7 'of'
Y=614.8 X=229.2-277.1 'equipment?'
Y=614.8 X=290.1-304.3 'Yes'
Y=614.8 X=323.8-335.4 'No'
Y=624.8 X=52.3-57.3 'If'
Y=624.8 X=59.8-72.5 'no,'
Y=624.8 X=75.0-106.0 'existing'
Y=624.8 X=108.5-151.4 'equipment'
Y=624.8 X=153.9-171.4 'type'
Y=624.8 X=173.9-196.2 'being'
Y=624.8 X=198.7-236.0 'replaced:'
Y=636.2 X=389.9-397.9 ''
Y=636.2 X=423.6-431.6 ''
Y=638.6 X=43.3-46.5 '•'
Y=638.6 X=52.3-69.7 'Was'
Y=638.6 X=72.2-84.8 'the'
Y=638.6 X=87.3-116.2 'system'
Y=638.6 X=118.7-152.7 'selected'
Y=638.6 X=155.2-195.2 'according'
Y=638.6 X=197.7-205.7 'to'
Y=638.6 X=208.2-237.7 'Manual'
Y=638.6 X=240.2-246.0 'S'
Y=638.6 X=248.5-275.9 'criteria'
Y=638.6 X=278.4-303.2 'based'
Y=638.6 X=305.7-315.9 'on'
Y=638.6 X=318.4-347.9 'Manual'
Y=638.6 X=350.4-355.1 'J'
Y=638.6 X=357.6-387.4 'Loads?'
Y=638.6 X=400.4-414.6 'Yes'
Y=638.6 X=434.1-445.8 'No'
Y=652.4 X=43.3-56.7 'For'
Y=652.4 X=59.2-83.3 'Smart'
Y=652.4 X=85.8-138.7 'Thermostats:'
