--- Page 2 (index 1) Size: 612.0x792.0 ---

--- All Horizontal Lines ---
Y= 289.6 X=  69.0- 73.8 '≥'
Y= 289.6 X=  76.0- 93.8 '17.1,'
Y= 289.6 X=  96.0-115.7 'EER2'
Y= 289.6 X= 117.9-122.7 '≥'
Y= 289.6 X= 125.0-142.6 '11.5)'
Y= 311.4 X=  41.9- 79.5 'Air-Source'
Y= 311.4 X=  81.7- 98.6 'Heat'
Y= 311.4 X= 100.8-122.0 'Pump'
Y= 311.4 X= 124.3-128.3 '–'
Y= 311.4 X= 130.5-143.8 'Tier'
Y= 311.4 X= 146.0-150.5 '1'
Y= 321.4 X=  41.9- 64.4 '(SEER'
Y= 321.4 X=  66.6- 71.4 '≥'
Y= 321.4 X=  73.6- 84.7 '16,'
Y= 321.4 X=  86.9-102.2 'EER'
Y= 321.4 X= 104.4-109.2 '≥'
Y= 321.4 X= 111.4-129.2 '12.5,'
Y= 321.4 X= 131.4-152.2 'HSPF'
Y= 321.4 X= 154.4-159.2 '≥'
Y= 321.4 X= 161.4-168.1 '9;'
Y= 326.4 X= 483.9-501.7 '$300'
Y= 326.5 X= 528.1-532.6 '$'
Y= 331.4 X=  41.9- 66.8 'SEER2'
Y= 331.4 X=  69.0- 73.8 '≥'
Y= 331.4 X=  76.0- 93.8 '15.2,'
Y= 331.4 X=  96.0-115.7 'EER2'
Y= 331.4 X= 117.9-122.7 '≥'
Y= 331.4 X= 125.0-142.8 '10.6,'
Y= 341.4 X=  41.9- 67.1 'HSPF2'
Y= 341.4 X=  69.3- 74.1 '≥'
Y= 341.4 X=  76.3- 89.5 '7.2)'
Y= 366.1 X=  41.9- 79.5 'Air-Source'
Y= 366.1 X=  81.7- 98.6 'Heat'
Y= 366.1 X= 100.8-122.0 'Pump'
Y= 366.1 X= 124.3-128.3 '–'
Y= 366.1 X= 130.5-143.8 'Tier'
Y= 366.1 X= 146.0-150.5 '2'
Y= 376.1 X=  41.9- 64.4 '(SEER'
Y= 376.1 X=  66.6- 71.4 '≥'
Y= 376.1 X=  73.6- 84.7 '18,'
Y= 376.1 X=  87.0-102.2 'EER'
Y= 376.1 X= 104.5-109.3 '≥'
Y= 376.1 X= 111.5-122.6 '13,'
Y= 376.1 X= 124.8-145.6 'HSPF'
Y= 376.1 X= 147.8-152.6 '≥'
Y= 376.1 X= 154.8-165.9 '10;'
Y= 381.1 X= 483.9-501.7 '$390'
Y= 381.2 X= 528.1-532.6 '$'
Y= 386.1 X=  41.9- 66.8 'SEER2'
Y= 386.1 X=  69.0- 73.8 '≥'
Y= 386.1 X=  76.0- 93.8 '17.1,'
Y= 386.1 X=  96.0-115.7 'EER2'
Y= 386.1 X= 117.9-122.7 '≥'
Y= 386.1 X= 125.0-142.8 '10.6,'
Y= 396.1 X=  41.9- 67.1 'HSPF2'
Y= 396.1 X=  69.3- 74.1 '≥'
Y= 396.1 X=  76.3- 89.5 '7.2)'
Y= 425.7 X=  41.9- 85.3 'Air-to-Water'
Y= 425.7 X=  87.5-104.4 'Heat'
Y= 425.7 X= 106.6-127.8 'Pump'
Y= 435.7 X=  41.9- 61.0 '(COP'
Y= 435.7 X=  63.2- 68.0 '>'
Y= 435.7 X=  70.2- 85.8 '1.75'
Y= 435.7 X=  88.0- 94.8 'at'
Y= 435.7 X=  97.1-109.7 'Full'
Y= 435.7 X= 111.9-130.0 'Load'
Y= 435.7 X= 132.2-163.9 'Capacity'
Y= 435.7 X= 483.9-501.7 '$600'
Y= 435.8 X= 528.1-532.6 '$'
Y= 445.7 X=  41.9- 55.4 'and'
Y= 445.7 X=  57.6- 78.6 '110ºF'
Y= 445.7 X=  80.8-101.7 'Water'
Y= 445.7 X= 103.9-150.6 'Temperature)'
Y= 467.6 X=  41.9- 72.8 'Ductless'
Y= 467.6 X=  75.1-109.1 'Mini-Split'
Y= 467.6 X= 111.4-128.3 'Heat'
Y= 467.6 X= 130.5-151.7 'Pump'
Y= 477.6 X=  41.9- 68.2 '(Single:'
Y= 477.6 X=  70.5- 90.9 'SEER'
Y= 477.6 X=  93.1- 97.9 '≥'
Y= 477.6 X= 100.1-111.3 '20,'
Y= 477.6 X= 113.5-128.7 'EER'
Y= 477.6 X= 131.0-135.8 '≥'
Y= 477.6 X= 138.0-153.6 '12.5'
Y= 482.6 X= 483.9-501.7 '$240'
Y= 482.7 X= 528.1-532.6 '$'
Y= 487.6 X=  41.9- 49.1 'or'
Y= 487.6 X=  51.3- 72.1 'HSPF'
Y= 487.6 X=  74.3- 79.1 '≥'
Y= 487.6 X=  81.3- 92.5 '10;'
Y= 487.6 X=  96.5-116.2 'Multi:'
Y= 487.6 X= 118.4-138.8 'SEER'
Y= 487.6 X= 141.1-145.9 '≥'
Y= 487.6 X= 148.1-159.2 '18,'
Y= 497.6 X=  41.9- 57.1 'EER'
Y= 497.6 X=  59.3- 64.1 '≥'
Y= 497.6 X=  66.4- 84.2 '12.5,'
Y= 497.6 X=  86.4- 93.6 'or'
Y= 497.6 X=  95.9-116.6 'HSPF'
Y= 497.6 X= 118.8-123.6 '≥'
Y= 497.6 X= 125.9-136.8 '10)'
Y= 524.4 X=  41.9- 72.8 'Ductless'
Y= 524.4 X=  75.1-109.1 'Mini-Split'
Y= 524.4 X= 111.4-125.0 'A/C'
Y= 529.4 X= 483.9-501.7 '$270'
Y= 529.5 X= 528.1-532.6 '$'
Y= 534.4 X=  41.9- 64.4 '(SEER'
Y= 534.4 X=  66.6- 71.4 '≥'
Y= 534.4 X=  73.6- 84.7 '20,'
Y= 534.4 X=  87.0-102.2 'EER'
Y= 534.4 X= 104.5-109.3 '≥'
Y= 534.4 X= 111.5-129.1 '12.5)'
Y= 568.5 X=  41.9- 58.8 'Heat'
Y= 568.5 X=  61.0- 82.2 'Pump'
Y= 568.5 X=  84.4-105.3 'Water'
Y= 568.5 X= 107.5-131.4 'Heater'
Y= 568.5 X= 483.9-501.7 '$450'
Y= 568.5 X= 528.1-532.6 '$'
Y= 591.9 X= 189.0-202.6 'N/A'
Y= 599.7 X=  41.9- 71.1 'Furnace'
Y= 599.7 X=  73.3- 86.6 'Fan'
Y= 599.7 X=  88.8-108.5 '(ECM'
Y= 599.7 X= 110.8-132.1 'Motor'
Y= 599.7 X= 134.3-157.3 'Install)'
Y= 599.7 X= 486.1-499.5 '$60'
Y= 599.8 X= 528.1-532.6 '$'
Y= 607.5 X= 189.0-202.6 'N/A'
Y= 623.2 X= 189.0-202.7 'N/A'
Y= 623.7 X=  41.9- 63.4 'Smart'
Y= 623.7 X=  65.6-106.3 'Thermostat'
Y= 631.0 X= 486.2-499.5 '$60'
Y= 631.1 X= 528.2-532.6 '$'
Y= 635.0 X=  41.9- 75.0 'ENERGY'
Y= 635.0 X=  77.2- 98.0 'STAR'
Y= 635.0 X= 100.2-115.1 'ID#:'
Y= 638.8 X= 189.0-202.7 'N/A'
Y= 660.2 X= 136.4-192.8 'Residential'
Y= 660.2 X= 195.9-225.2 'HVAC'
Y= 660.2 X= 228.3-247.4 'and'
Y= 660.2 X= 250.5-280.2 'Water'
Y= 660.2 X= 283.3-322.6 'Heating'
Y= 660.2 X= 325.7-331.2 '–'
Y= 660.2 X= 334.2-375.4 'Electric:'
Y= 660.2 X= 378.5-424.5 'Incentive'
Y= 660.2 X= 427.6-475.9 'Summary'
Y= 679.2 X=  41.9- 82.1 'Rockland'
Y= 679.2 X=  84.6-116.7 'Electric'
Y= 679.2 X= 119.2-159.8 'Company'
Y= 679.2 X= 162.3-186.6 'HVAC'
Y= 679.2 X= 189.1-221.2 'Electric'
Y= 679.2 X= 223.7-253.0 'Instant'
Y= 679.2 X= 255.5-285.8 'Rebate'
Y= 679.2 X= 288.3-321.4 'Amount'
Y= 679.2 X= 323.9-351.0 'Owed:'
Y= 679.2 X= 353.5-358.5 '$'
Y= 692.9 X=  41.9- 84.4 'Enhanced'
Y= 692.9 X=  86.9-104.5 'Low'
Y= 692.9 X= 107.0-115.4 'to'
Y= 692.9 X= 117.9-158.7 'Moderate'
Y= 692.9 X= 161.2-192.6 'Income'
Y= 692.9 X= 195.1-216.2 '(LMI)'
Y= 692.9 X= 218.7-257.1 'Incentive'
Y= 692.9 X= 259.6-297.5 'Provided'
Y= 692.9 X= 300.1-307.8 '(if'
Y= 692.9 X= 310.3-359.3 'applicable):'
Y= 692.9 X= 361.8-366.8 '$'
Y= 706.7 X=  41.9- 62.5 'Total'
Y= 706.7 X=  65.0- 95.3 'Rebate'
Y= 706.7 X=  97.8-133.4 'Amount:'
Y= 706.7 X= 135.9-141.0 '$'
Y= 772.7 X=  36.0- 58.2 'RECO'
Y= 772.7 X=  60.4- 81.7 'HVAC'
Y= 772.7 X=  83.9-108.2 'Instant'
Y= 772.7 X= 110.5-136.1 'Rebate'
Y= 772.7 X= 138.3-169.0 'Program'
Y= 772.7 X= 171.2-203.4 'Incentive'
Y= 772.7 X= 205.6-226.0 'Claim'
Y= 772.7 X= 228.3-246.9 'Form'
Y= 772.7 X= 533.6-552.0 'Page'
Y= 772.7 X= 560.9-562.7 '|'
Y= 772.7 X= 571.6-576.0 '2'
